breakpoint,slope1,slope2,intercept1,intercept2,slope1_se,slope2_se,slope1_ci_lower,slope1_ci_upper,slope2_ci_lower,slope2_ci_upper,sse,aic,delta_aic,f_stat,f_pvalue,n1,n2
40158.83857287682,0.001190161636319878,0.001767151658700883,-38.24173757028598,-67.50584173346263,6.227486834541935e-05,0.00012087762633571432,0.00039888440918862543,0.0019814388634511303,0.0015199291542484393,0.0020143741631533266,578.3902799857476,174.9946312979572,-26.863813461263504,2.3857484487011744,0.10926171468022088,3,31
42158.83857287682,0.0009654009826883308,0.001890851595454346,-29.54033090107088,-74.4984096248306,5.804977280364291e-05,0.00013299939283816406,0.0007806606977067865,0.0011501412676698751,0.0016179593825556518,0.0021637438083530404,506.0245593932827,165.34126547280465,-36.51717928641605,4.872055073893586,0.014713878114424856,5,29
44158.83857287682,0.0008832186551037435,0.0020299141241349964,-26.31235075901897,-82.43184219247256,3.3459393118379456e-05,0.00014718860817082056,0.0007972085469222226,0.0009692287632852644,0.0017267735110810928,0.0023330547371889,439.124505651462,151.48701734026454,-50.37142741895616,7.899537109840569,0.001753752614673947,7,27
46158.83857287682,0.000763768813426167,0.002074626492163868,-21.546204686323037,-85.00947037167572,5.981963028172059e-05,0.00015730034313397306,0.0006173954511587144,0.0009101421756936196,0.0017499745402260666,0.002399278444101669,427.2577655646161,159.17478811598085,-42.68365664323986,8.53555329700678,0.0011627937721438405,8,26
48158.83857287682,0.0006308053509717284,0.0020713357459562834,-16.18334929662349,-84.8095779887007,4.527063782546849e-05,0.00019400578480834906,0.0005283960533478711,0.0007332146485955856,0.0016678786299115852,0.002474792862000982,426.9793465525062,154.73614385094027,-47.12230090828044,8.550900047502607,0.0011514795962811592,11,23
50158.83857287682,0.0006773033244374206,0.002041189984796216,-18.0916900633849,-83.02549663482161,4.1171660212628595e-05,0.00022719127266163076,0.0005866851112934474,0.0007679215375813938,0.0015656731861637965,0.002516706783428636,425.96106112871814,150.5541624064578,-51.3042823527629,8.607199884327864,0.0011109684531909446,13,21
52158.83857287682,0.0009154497583939707,0.001907365874303859,-28.098091018569765,-74.92161318347665,8.188547628688575e-05,0.0002908199530882624,0.0007409149971743794,0.001089984519613562,0.0012874978174542986,0.0025272339311534194,430.3422372532823,171.28793526310167,-30.57050949611903,8.366862563127023,0.0012952775048644006,17,17
54158.83857287682,0.0011036219077145244,0.0011138914589923928,-36.160875109659884,-25.94005794902131,8.769067540755323e-05,0.00043139101749212634,0.0009212591650834571,0.0012859846503455916,0.00013801717878166118,0.0020897657392031244,321.7361041375157,171.63035074136616,-30.228094017854545,16.25464560454814,1.6506317844878185e-05,23,11
56158.83857287682,0.0011784611936465792,0.00021626525073146203,-39.462936868522945,30.325700749876376,8.545404778142375e-05,0.00024689798376994684,0.0010016860273624247,0.0013552363599307338,-0.0003675557093603159,0.00080008621082324,160.75272911396704,157.1172438277652,-44.741200931455495,47.55413496511739,4.98343208422378e-10,25,9
58158.83857287682,0.0014638282685908572,0.0003322620188215778,-52.281908286864365,22.946439033722868,0.00014798348636920852,0.00037409954839020724,0.0011590505732426307,0.0017686059639390836,-0.0006293914849900373,0.0012939155226331929,522.8490876145147,193.48524462801606,-8.37320013120464,4.232601052982872,0.02403247729571154,27,7
60158.83857287682,0.001607676928638623,0.0001458799024742279,-58.844569974696036,34.84840557079188,0.00014557772489375112,0.00032928068929748025,0.0013089761101818531,0.0019063777470953928,-0.0009020382105819934,0.0011937980155304494,625.3471539582496,194.25235055388066,-7.606094205340042,1.0802649366137633,0.35234725138204226,29,5
62158.83857287682,0.0016678878528699746,0.0008411614385196537,-61.6209440939541,-10.02455126942209,0.00014075557030163757,6.0344980720177e-05,0.0013795631374166376,0.0019562125683233117,0.0005815179425005231,0.0011008049345387844,661.6743524205147,180.11551102573603,-21.742933733484676,0.1974273692496223,0.8218976492002489,30,4
